Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
parts_of_vision_affected	medical_history_stroke		radio	9. During the episode, which of the following parts of your vision were affected?	0, Only the right eye | 1, Only the left eye | 2, Both eyes						[sudden_vision_loss_or_blurring] = '0'						
trouble_seeing_left_right_ahead	medical_history_stroke		radio	9a. Did you have	0, Trouble seeing to the right, but not to left | 1, Trouble seeing to the left, but not to right | 2, Trouble seeing both sides or straight ahead | 99, Other						[sudden_vision_loss_or_blurring] = '0' and [parts_of_vision_affected] = '2'						
px130301_q10	medical_history_stroke		descriptive	10. While you were having your loss of vision, did any of the following occur?							[sudden_vision_loss_or_blurring] = '0'						
speech_disturbance_with_vision_loss	medical_history_stroke		radio	10a. Speech disturbance?	1, Yes | 0, No						[parts_of_vision_affected] = '0' or [parts_of_vision_affected] = '1'						
numbness_tingling_with_vision_loss	medical_history_stroke		radio	10b. Numbness or tingling?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
complications_side_affected_vision_loss	medical_history_stroke		radio	10c. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_vision_loss_or_blurring] = '0' and [numbness_tingling_with_vision_loss] = '0'						
paralysis_weakness_with_vision_loss	medical_history_stroke		radio	10d. While you were having your loss of vision, did any of the following occur?  Paralysis or weakness?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0' and [numbness_tingling_with_double_vision] = '1'						
paralysis_weakness_vision_loss_side	medical_history_stroke		radio	10e. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_vision_loss_or_blurring] = '0' and [paralysis_weakness_with_vision_loss] = '0'						
lightheadedness_dizziness_balance_vision_loss	medical_history_stroke		radio	10f. Lightheadedness, dizziness, or loss of balance?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0' and [paralysis_weakness_with_vision_loss] = '1'						
blackouts_fainting_with_vision_loss	medical_history_stroke		radio	10g. Blackouts or fainting?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
seizures_convulsions_with_vision_loss	medical_history_stroke		radio	10h. Seizures or convulsions?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
headache_with_vision_loss	medical_history_stroke		radio	10i. Headache?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
flashing_lights_with_vision_loss	medical_history_stroke		radio	10j. Flashing lights?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
sudden_spell_double_vision	medical_history_stroke		radio	11. Have you ever had a sudden spell of double vision, which lasted 24 hours or longer?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_vision_loss_or_blurring] = '1' or [sudden_vision_loss_or_blurring] = '2'						
double_vision_one_eye	medical_history_stroke		radio	11a. If you closed one eye, did the double vision go away?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_spell_double_vision] = '0'						
double_vision_occurred_suddenly	medical_history_stroke		radio	12. Did the episode come on suddenly?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
px130301_q13	medical_history_stroke		descriptive	13. While you were having your double vision did any of the following occur?							[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
speech_disturbance_with_double_vision	medical_history_stroke		radio	13a. Speech disturbance?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
numbness_tingling_with_double_vision	medical_history_stroke		radio	13b. Numbness or tingling?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
affected_side_numbness_double_vision	medical_history_stroke		radio	13c. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2' and [numbness_tingling_with_double_vision] = '0'						
paralysis_weakness_with_double_vision	medical_history_stroke		radio	13d. While you were having your double vision did any of the following occur?  Paralysis or weakness?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
affected_side_paralysis_double_vision	medical_history_stroke		radio	13e. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2' and [paralysis_weakness_with_double_vision] = '0'						
lightheadedness_with_double_vision	medical_history_stroke		radio	13f. Lightheadedness, dizziness, or loss of balance?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
blackouts_fainting_with_double_vision	medical_history_stroke		radio	13g. Blackouts or fainting?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
seizures_convulsions_with_double_vision	medical_history_stroke		radio	13h. Seizures or convulsions?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
headache_with_double_vision	medical_history_stroke		radio	13i. Headache?	1, Yes | 0, No						[sudden_spell_double_vision] = '0' and [double_vision_one_eye] = '0' and [double_vision_one_eye] = '2'						
sudden_numbness_tingling	medical_history_stroke		radio	14. Have you ever had sudden numbness, tingling, or loss of feeling on one side of your body, including your face, arm, or leg which lasted 24 hours or longer?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_spell_double_vision] = '2' or [sudden_spell_double_vision] = '1' or [double_vision_one_eye] = '1'						
numbness_tingling_in_certain_position	medical_history_stroke		radio	15. Did the feeling of numbness or tingling occur only when you kept your arms or legs in a certain position?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_numbness_tingling] = '0'						
numbness_tingling_occur_suddenly	medical_history_stroke		radio	16. Did the episode come on suddenly?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
px130301_q17	medical_history_stroke		descriptive	17. During the episode of sudden numbness or tingling, which part or parts of your body were affected?							[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_left_arm_or_hand	medical_history_stroke		radio	17a. Left arm or hand?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_left_leg_or_foot	medical_history_stroke		radio	17b. Left leg or foot?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_left_side_of_face	medical_history_stroke		radio	17c. Left side of face?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_right_arm_or_hand	medical_history_stroke		radio	17d. Right arm or hand?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_right_leg_or_foot	medical_history_stroke		radio	17e. Right leg or foot?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_right_side_of_face	medical_history_stroke		radio	17f. Right side of face?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
numbness_other	medical_history_stroke		radio	17g. Other?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
sensation_spread	medical_history_stroke		radio	18. During this episode, did the abnormal sensation start in one part of your body and spread to another, or did it stay in the same place?	0, Started in one part and spread to another | 1, Stayed in one part | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
px130301_q19	medical_history_stroke		descriptive	19. While you were having your episode of numbness, tingling or loss of sensation, did any of the following occur?							[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
speech_disturbance_with_numbness	medical_history_stroke		radio	19a. Speech disturbance?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
paralysis_or_weakness_with_numbness	medical_history_stroke		radio	19b. Paralysis or weakness?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
affected_side_complications_with_numbness	medical_history_stroke		radio	19c. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2' and [paralysis_or_weakness_with_numbness] = '0'						
lightheadedness_with_numbness	medical_history_stroke		radio	19d. Lightheadedness, dizziness, or loss of balance?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
blackouts_or_fainting_with_numbness	medical_history_stroke		radio	19e. Blackouts or fainting?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
seizures_or_convulsions_with_numbness	medical_history_stroke		radio	19f. Seizures or convulsions?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
headache_with_numbness	medical_history_stroke		radio	19g. Headache?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
pain_with_numbness	medical_history_stroke		radio	19h. Pain in the numb or tingling arm, leg or face?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
visual_disturbances_with_numbness	medical_history_stroke		radio	19i. Visual disturbances?	1, Yes | 0, No						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2'						
visual_disturbances_description_with_numbness	medical_history_stroke		radio	19j. Did you have	0, Double vision | 1, Vision loss in right eye only | 2, Vision loss in left eye only | 3, Total loss of vision in both eyes | 4, Trouble in both eyes seeing to the right | 5, Trouble in both eyes seeing to the left | 6, Trouble in both eyes seeing to both sides or straight ahead | 99, Other						[sudden_numbness_tingling] = '0' and [numbness_tingling_in_certain_position] = '1' and [numbness_tingling_in_certain_position] = '2' and [visual_disturbances_with_numbness] = '0'						
sudden_paralysis_or_weakness	medical_history_stroke		radio	20. Have you ever had any sudden episode of paralysis or weakness on one side of your body, including your face, arm, or leg which lasted at least 24 hours?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[visual_disturbances_with_numbness] = '1' or [numbness_tingling_in_certain_position] = '0' or [sudden_numbness_tingling] = '1' or [sudden_numbness_tingling] = '2'						
paralysis_or_weakness_occurred_suddenly	medical_history_stroke		radio	21. Did the episode come on suddenly?	1, Yes | 0, No						[sudden_paralysis_or_weakness] = '0'						
